code,product_name,brands,quantity,categories,countries
9300633929169,Chunk Light Tuna,Woolworths,,Tuna chunks,"Canada, India"
8901063017627,Brit 50-50 maska chaska 40g (20),Britannia,,Biscuits,India
8901262150088,Milk,Amul,200 ml,Whole milks,India
8906009803777,Waffy - choco flavoured wafer roll,Dukes,250 g,"Chocolate stuffed wafers, Thin crunchy wafer biscuit with chocolate",India
8901207025372,Dabur Honey,Dabur,500 g,Honeys,"India, Indian subcontinent"
8901207062865,Hajmola,Dabur,120N,"Laxative, medicine",India
8901262151696,Amul Lassi 250 ml,Amul,250 ml,"Yogurt drinks, Dairy based drink",India
3948764175091,maaza,Tetra Pak,153ml,Sweetened beverages,"India, United States"
8901030898105,Hellman's Real Mayonnaise,Hellman's,250g,Mayonnaises,India
8901262070676,Dark Chocolate,Amul,150 g,"Bars, Dark chocolates",India
8906010500085,Chevdo,Balaji,,,India
8901058003000,Pazzta Cheese Macaroni,Maggi,75g,Pastas,India
8901058015171,Nestle KitKat,Nestlé,22.1,Chocolate biscuity bars,India
8906010500269,Poprings Masala flavour,Balaji,22 g,Wafers,India
8901764112270,Coca Cola Zero Sugar,Coca cola zero,750 ml,Diet cola soft drink,India
8906004560767,,,,Greean,"India, United Kingdom"
3948764111259,Coca cola zero 300ml can MFD10/04/2025,,,Diet cola soft drink,India
8906010500702,Chana dal,Balaji Wafers,24g,"Snacks, Chickpeas",India
4897036692455,Monster Energy Ultra,"Monster, Monster Energy",350ml,"Energy drinks, Caff","India, United States"
7622202272639,Cadbury Dairy Milk,Cadbury,21g,"Confectioneries, Milk chocolates",India
8906136651968,High Protein Oats Chocolate,Pintola,1kg,"Breakfast cereals, Oat",India
8904482000003,Hamdard Roohafza,Hamdard,,Beverage preparations,India
8901719125348,8901719125348,Parle,,Biscuits,"India, United States"
8901058018677,Rich Tomato Ketchup,,,Ketchup,India
8908013982646,Lahori Zeera,Lahori Zeera,160 ml,"Sodas, Carbonated fruit soft drink",India
8904258701707,Coconut Water,RAW Pressery,5,"Waters, Coconut waters",India
8906009532356,CHOCOLAMOND SNACK BAR,MAX PROTEIN,50g,"Energy bars, Protein bars",India
89000724,kinley water 500ml,,4,Waters,India
8906035030055,Refined Sunflower Oil,Freedom,1 l (982 g),Sunflower oils,"India, United States"
8904043926612,Himalayan Rock Salt,TATA Salt,1 kg,Rock salts,India
8901499023339,"Muesli Fruit, Nut & Seeds",Kellogg's,75 g,"Seeds, Mueslis with nuts",India
8904043552644,Modern Sandwich Supreme Bread,Modern,,White breads,India
8901595863594,Schezwan Chutney,,,Fruit chutneys,"India, Ireland"
8903553851377,Temptin  TOMATO KETCHUP,,,Ketchup,India
8904004402247,Farali Chiwda,Haldiram's,200g,Potato crisps in sunflower oil,India
8901719121685,20 20 butter cookies 200g,parle,200,Biscuits,India
8901058017670,Maggi 280g,Maggi,280,Noodles,"India, United States"
8901262260107,Amul Gold Milky Milk,Amul,,"Milks, Full cream milk",India
0716270001660,Ginger Crystallized In Dark Chocolate,Chocolove,3.2 g,"Candied fruits, Ginger, Crystallized ginger, Groceries","India, United States, world"
8901207006241,Dabur Chyawanprash,Dabur,,"Sweeteners, Dietary supplements, Ayurvedic, Pro","India, United States"
8901764111259,Coca cola zero sugar 300ml,Coca-Cola,16,Diet cola soft drink,India
8901030902352,knorr Tomato chatpata,Knorr,13,Non veg,India
8901088068758,Saffola Masala Veggie Twist Oats,Saffola,38 g,Oat,India
8901088000451,Parachnute 100% Pure Coconut Oil,Parachute,,Coconut oils,"France, India, Somalia"
8906009070834,Unibic cashew badam cookies 500g,Unibic,450g,Biscuits,India
8886467122408,Pringles Sour Cream & Onion Flavour Potato Crisps,Pringles,107g,Stacked extruded potato crisps,India
8901063163331,Tiger glucose biscuit,Britannia,,Biscuits,India
8904004400601,Haldiram Lite Chiwda,Haldiram's,200 g,"Crisps, Crackers (Appetizers), Puffed salty snacks",India
8906010501952,Balaji Wafers Rumbles Potato Chips Pudina Twist flavour,"Balaji Wafers, Balaji, Rumbles",40 g,Potato crisps,India
8901063093089,Good day Cashew,Britannia,120 g,Biscuits,India
8901030987007,Knorr Schezwan Sauce 200 g,Knorr,200g,Sauces,India
7622202237416,Bournvita 13.4g,,,Cereal based beverage mix,India
8908006989355,,,,Food,India
8901063155534,Krunch ChocoChips,"Britannia, Tiger",60g,Biscuits,India
8901764312601,,,,Diet sodas,"India, United States"
8904004401561,,Haldiram's,,Food,India
8901719135477,Parle G gold,Parle,1 kg,Biscuits,India
8901764972041,,,,"Sodas, Beverages from desugared fruit juices","India, United States"
7622202344213,,,,Dietary supplements,"India, United Kingdom"
